street_type,zip,injuries,killed,pedestrians_i,pedestrians_k,cyclists_i,cyclists_k,motorists_i,motorists_k,date
"Off 65 place, on queens blvd, x  ",11375,"2 injuries","no deaths",,,,,"2 motorists injured",,2014-01-18T05:30:00
"Off 65 place, on queens blvd, x  ",11379,"2 injuries","no deaths",,,,,"2 motorists injured",,2014-01-18T05:30:00
"On 65 place, off queens blvd, x  ",11375,"1 injured","no deaths",,,,,"1 motorist injured",,2014-02-04T16:00:00
"On 65 place, off queens blvd, x  ",11379,"1 injured","no deaths",,,,,"1 motorist injured",,2014-02-04T16:00:00
"Off 65 place, on 50 avenue, x  ",11364,"1 injured","no deaths","1 pedestrian injured",,,,,,2014-02-10T13:45:00
"Off 65 place, on 50 avenue, x  ",11379,"1 injured","no deaths","1 pedestrian injured",,,,,,2014-02-10T13:45:00
"Off 65 place, on queens blvd, x  ",11375,"1 injured","no deaths",,,,,"1 motorist injured",,2014-02-22T07:00:00
"Off 65 place, on queens blvd, x  ",11379,"1 injured","no deaths",,,,,"1 motorist injured",,2014-02-22T07:00:00
"On 65 place, off maurice avenue, x  ",11377,"1 injured","no deaths",,,,,"1 motorist injured",,2014-03-10T14:44:00
"On 65 place, off maurice avenue, x  ",11379,"1 injured","no deaths",,,,,"1 motorist injured",,2014-03-10T14:44:00
"Off 65 place, on 50 avenue, x  ",11364,"1 injured","no deaths",,,,,"1 motorist injured",,2014-03-26T10:50:00
"Off 65 place, on 50 avenue, x  ",11379,"1 injured","no deaths",,,,,"1 motorist injured",,2014-03-26T10:50:00
"Off 65 place, on 50 avenue, x  ",11364,"1 injured","no deaths","1 pedestrian injured",,,,,,2014-03-31T01:55:00
"Off 65 place, on 50 avenue, x  ",11379,"1 injured","no deaths","1 pedestrian injured",,,,,,2014-03-31T01:55:00
"On 65 place, off 53 dr, x  ",11379,"1 injured","no deaths","1 pedestrian injured",,,,,,2014-04-06T02:00:00
"On 65 place, off 53 dr, x  ",11378,"1 injured","no deaths","1 pedestrian injured",,,,,,2014-04-06T02:00:00
"On 65 place, off queens blvd, x  ",11375,"1 injured","no deaths",,,,,"1 motorist injured",,2014-04-26T02:10:00
"On 65 place, off queens blvd, x  ",11379,"1 injured","no deaths",,,,,"1 motorist injured",,2014-04-26T02:10:00
"On 65 place, off 53 avenue, x  ",11378,"1 injured","no deaths","1 pedestrian injured",,,,,,2014-05-12T18:50:00
